iteration,timestamp,operation_type,latency_ms
1,1784634838.1,Write_Speed_Command,0.25
2,1784634838.168,Read_SN_Info,14.668
3,1784634838.224,Write_Speed_Command,0.4
4,1784634838.301,Read_SN_Info,18.589
5,1784634838.356,Write_Speed_Command,0.391
6,1784634838.513,Read_SN_Info,98.487
7,1784634838.569,Write_Speed_Command,0.361
8,1784634838.639,Read_SN_Info,19.361
9,1784634838.697,Write_Speed_Command,0.422
10,1784634838.751,Read_SN_Info,11.359
11,1784634838.802,Write_Speed_Command,0.405
12,1784634838.863,Read_SN_Info,9.999
13,1784634838.922,Write_Speed_Command,0.418
14,1784634839.119,Read_SN_Info,153.814
15,1784634839.171,Write_Speed_Command,0.263
16,1784634839.232,Read_SN_Info,11.079
17,1784634839.292,Write_Speed_Command,0.35
18,1784634839.362,Read_SN_Info,16.907
19,1784634839.419,Write_Speed_Command,0.378
20,1784634839.474,Read_SN_Info,9.086
21,1784634839.529,Write_Speed_Command,0.54
22,1784634839.602,Read_SN_Info,20.149
23,1784634839.656,Write_Speed_Command,0.326
24,1784634839.719,Read_SN_Info,18.007
25,1784634839.783,Write_Speed_Command,0.434
26,1784634840.162,Read_SN_Info,329.103
27,1784634840.221,Write_Speed_Command,0.48
28,1784634840.276,Read_SN_Info,9.723
29,1784634840.33,Write_Speed_Command,0.419
30,1784634840.402,Read_SN_Info,17.934
31,1784634840.454,Write_Speed_Command,0.393
32,1784634840.524,Read_SN_Info,11.097
33,1784634840.585,Write_Speed_Command,0.359
34,1784634840.688,Read_SN_Info,51.742
35,1784634840.746,Write_Speed_Command,0.393
36,1784634840.822,Read_SN_Info,14.556
37,1784634840.886,Write_Speed_Command,0.292
38,1784634840.959,Read_SN_Info,20.649
39,1784634841.029,Write_Speed_Command,0.453
40,1784634841.102,Read_SN_Info,19.652
41,1784634841.157,Write_Speed_Command,0.614
42,1784634841.21,Read_SN_Info,12.374
43,1784634841.262,Write_Speed_Command,0.357
44,1784634841.316,Read_SN_Info,9.437
45,1784634841.381,Write_Speed_Command,0.591
46,1784634841.436,Read_SN_Info,11.553
47,1784634841.49,Write_Speed_Command,0.417
48,1784634841.56,Read_SN_Info,12.042
49,1784634841.624,Write_Speed_Command,0.661
50,1784634841.694,Read_SN_Info,24.579
